image_id,latitude,longitude,LST
506,47.729501,-122.133152,290.1052812
194,47.715739,-122.098716,290.3359124
642,47.715739,-122.098716,290.3359124
743,47.725003,-122.133227,291.3059378
889,47.738386,-122.118333,291.7116353
844,47.803869,-122.214718,291.9451029
736,41.685391,-83.673384,292.1213237
745,41.685279,-83.678185,292.4988009
880,47.737394,-122.106345,292.5599089
490,47.738241,-122.099661,293.141819
173,47.733743,-122.099739,293.271157
484,47.733743,-122.099739,293.271157
172,47.714902,-122.10673,293.3499517
722,47.734,-122.133078,293.3507735
157,47.732047,-122.113105,293.4162974
742,47.715036,-122.12406,293.5371437
497,47.738447,-122.126335,293.6489093
174,47.724953,-122.12656,293.6506093
447,47.715905,-122.120045,293.6824313
505,47.733049,-122.126425,293.7538748
158,47.725013,-122.13456,293.8999733
193,47.730401,-122.133137,293.9973413
479,47.724746,-122.099894,294.0096728
608,47.715802,-122.106714,294.0366151
436,47.729234,-122.098483,294.1100013
160,47.721148,-122.099956,294.1307281
475,47.719595,-122.131983,294.1321349
443,30.302283,-97.893476,294.1459134
444,30.302283,-97.893476,294.1459134
466,30.302283,-97.893476,294.1459134
498,30.302283,-97.893476,294.1459134
553,30.302283,-97.893476,294.1459134
854,47.732947,-122.11309,294.169501
156,47.73215,-122.12644,294.2132688
171,47.715005,-122.12006,294.32293
615,47.720248,-122.099971,294.4092676
935,47.729349,-122.113151,294.4669864
879,47.724002,-122.119909,294.5387711
721,47.724963,-122.127894,294.5509081
182,47.737548,-122.12635,294.7608385
195,47.723847,-122.099909,294.7773623
927,30.496102,-97.772507,294.9909203
848,41.694277,-83.678559,295.0202326
159,47.715843,-122.112047,295.064688
504,47.738498,-122.133003,295.1312599
890,47.723951,-122.113242,295.185621
833,47.7285,-122.119833,295.2192764
838,41.68657,-83.661419,295.2322976
892,47.733795,-122.106407,295.3174125
196,47.729245,-122.099816,295.3409281
865,47.794918,-122.22153,295.462601
210,42.477334,-83.538985,295.6212002
243,42.472835,-83.538803,295.6502494
888,47.738345,-122.112998,295.7612429
600,47.715854,-122.11338,295.8441061
189,41.616588,-70.571162,296.0524136
451,37.435458,-122.055017,296.1092141
755,47.720393,-122.118636,296.1577972
847,47.789574,-122.22962,296.285595
492,37.433727,-122.064081,296.3070644
168,47.73399,-122.131744,296.3145114
491,37.433736,-122.065211,296.3211842
184,41.603017,-70.575632,296.330598
949,47.72667,-122.115863,296.3740732
441,42.449261,-83.463676,296.4265844
165,47.715996,-122.132043,296.4436702
771,47.715996,-122.132043,296.4436702
185,41.612086,-70.571052,296.4677207
267,42.481832,-83.539167,296.4842929
213,42.487526,-83.526013,296.6939143
169,47.720485,-122.130635,296.7035579
166,47.7203,-122.106637,296.7509665
511,47.72029,-122.105304,296.7716843
598,37.91151,-122.532439,296.7952087
259,41.607584,-70.570943,296.8285214
271,42.476837,-83.520717,296.9161317
863,47.789707,-122.249646,297.0387821
788,47.79042,-122.221597,297.0496707
283,42.482235,-83.520934,297.0988752
952,47.72668,-122.117197,297.159904
468,30.30407,-97.891376,297.190896
494,30.30407,-97.891376,297.190896
495,30.30407,-97.891376,297.190896
627,30.30407,-97.891376,297.190896
628,30.30407,-97.891376,297.190896
918,41.689638,-83.684374,297.2064302
291,42.475937,-83.520681,297.2660119
846,47.720352,-122.113303,297.2913213
906,47.733898,-122.119742,297.3560585
252,42.4727,-83.544879,297.3571298
162,47.715946,-122.125378,297.440604
636,41.685837,-83.65418,297.5440525
432,30.303177,-97.892426,297.5722879
692,30.303177,-97.892426,297.5722879
510,41.684937,-83.654143,297.5910746
825,47.798562,-122.228152,297.5998745
638,30.301381,-97.893486,297.7376771
687,30.301381,-97.893486,297.7376771
933,30.504936,-97.752597,297.8975261
241,42.477468,-83.532908,297.9077993
244,41.603082,-70.570834,298.0519664
197,41.603983,-70.570856,298.0782253
176,47.729451,-122.126485,298.1563948
756,47.729451,-122.126485,298.1563948
812,47.798651,-122.241505,298.1735118
170,47.720454,-122.126636,298.3390015
792,47.803015,-122.221409,298.3684708
811,47.803193,-122.248116,298.4332892
733,47.720464,-122.127969,298.4676651
231,42.490829,-83.539531,298.4849286
258,42.491125,-83.526158,298.5163837
211,42.478099,-83.545098,298.6877429
826,47.724799,-122.10656,298.7449142
450,37.906911,-122.509717,298.7534246
849,47.7852,-122.248376,298.760393
163,41.611284,-70.563832,299.0967159
818,47.780613,-122.235092,299.2682685
836,47.780613,-122.235092,299.2682685
793,41.694137,-83.684561,299.3405422
845,47.803069,-122.229421,299.5417888
289,42.481442,-83.516036,299.65245
190,41.612233,-70.560254,299.8123097
804,47.799416,-122.221462,299.8288015
233,41.606635,-70.57452,299.8883656
217,41.605701,-70.576898,299.9744641
228,42.467437,-83.538584,299.9763866
229,42.485968,-83.515001,299.9966868
805,47.798471,-122.2148,300.0199975
919,41.685139,-83.684186,300.0364055
266,42.480798,-83.545208,300.0742482
208,42.468444,-83.53376,300.0759749
240,42.479321,-83.530549,300.1012812
784,47.798606,-122.234828,300.168616
819,47.794152,-122.24157,300.1910424
226,42.473077,-83.527865,300.2226313
939,30.509447,-97.75254,300.3213158
209,42.468175,-83.545912,300.4694278
227,42.472943,-83.533941,300.4708787
831,47.784976,-122.215003,300.4714269
852,47.785022,-122.221677,300.4782967
298,42.467786,-83.522786,300.581742
783,47.803105,-122.234762,300.638721
201,42.487365,-83.533307,300.6516605
278,42.474244,-83.515747,300.6569833
225,42.467706,-83.526432,300.6584812
282,42.47697,-83.51464,300.6703792
290,42.467973,-83.51428,300.6760442
200,42.485323,-83.544174,300.7027444
816,47.780666,-122.243101,300.8601504
815,47.780568,-122.228418,301.0678637
187,42.486169,-83.546642,301.081042
613,37.914145,-122.515358,301.210052
635,30.300479,-97.893497,301.2528416
665,30.508674,-97.766096,301.3414467
523,30.303168,-97.891387,301.372916
571,30.303168,-97.891387,301.372916
654,30.303168,-97.891387,301.372916
655,30.303168,-97.891387,301.372916
656,30.303168,-97.891387,301.372916
735,30.303168,-97.891387,301.372916
440,30.500415,-97.751613,301.5020037
164,32.420329,-81.78704,301.6292549
837,47.794063,-122.228219,301.6838363
19,32.434788,-81.782911,301.7814906
835,47.794108,-122.234894,301.8418842
534,30.490561,-97.759032,301.8492054
279,42.485834,-83.521079,301.862057
913,30.505124,-97.772393,301.9487282
17,32.421316,-81.773222,302.0124878
301,34.508671,-82.718978,302.0684658
782,34.508671,-82.718978,302.0684658
561,37.920482,-122.522142,302.0737899
700,37.915994,-122.526722,302.1229513
622,37.92142,-122.531238,302.1698801
212,42.478556,-83.524436,302.2180766
442,30.303159,-97.890347,302.2397197
758,30.303159,-97.890347,302.2397197
773,30.303159,-97.890347,302.2397197
821,34.51032,-82.729905,302.2891024
74,32.417609,-81.789143,302.3558303
637,30.301372,-97.892447,302.3967719
549,30.302257,-97.890357,302.4363531
254,42.490991,-83.532237,302.515704
268,42.482047,-83.529443,302.5177332
22,40.584145,-74.346553,302.5385199
486,37.9123,-122.505131,302.5501096
533,30.486227,-97.77784,302.6804999
832,47.781423,-122.221731,302.8569924
437,37.909577,-122.500599,302.8676257
230,42.490466,-83.515181,302.8900109
253,42.481967,-83.533089,302.9026923
830,47.785067,-122.228352,302.9175662
867,34.524742,-82.730203,302.9251573
70,37.307523,-122.062262,302.9459578
392,29.971072,-95.398179,303.1138852
52,32.425807,-81.776452,303.1295707
242,42.491232,-83.521295,303.1687824
609,37.915971,-122.521034,303.259304
723,30.299515,-97.886228,303.4194352
458,37.911422,-122.510825,303.4462354
640,30.297737,-97.889368,303.5532368
641,30.297737,-97.889368,303.5532368
868,34.506544,-82.741808,303.6499901
785,34.511298,-82.724479,303.6639335
401,29.970132,-95.400229,303.6751885
473,37.913239,-122.514226,303.8007317
666,30.504182,-97.768237,303.8644329
181,32.426669,-81.782841,303.8986797
780,34.515882,-82.719126,304.1718544
920,29.969325,-95.395029,304.1789845
487,30.495904,-97.751671,304.2275144
602,37.920505,-122.527831,304.2278697
508,30.298665,-97.892477,304.360221
633,30.297746,-97.890408,304.3933434
810,47.786011,-122.235013,304.4036667
192,32.413988,-81.791239,304.4394033
787,47.789474,-122.214935,304.5512914
799,34.506466,-82.747252,304.551335
644,30.300461,-97.891417,304.5880783
390,29.965454,-95.409441,304.6300665
418,29.965454,-95.409441,304.6300665
529,37.912361,-122.51992,304.6352734
465,32.418363,-81.812547,304.6922967
802,34.520904,-82.746464,304.7102936
530,37.911487,-122.526751,304.7557117
92,37.306711,-122.073556,304.8505834
28,34.147653,-118.743082,304.8751719
395,29.97896,-95.410803,304.8907746
151,40.524723,-74.353034,304.9191757
78,37.312119,-122.07349,304.9758592
822,34.519487,-82.719201,305.0634927
417,29.965435,-95.410476,305.1323944
772,30.30223,-97.887237,305.1436747
507,37.916016,-122.53241,305.1895935
415,29.965529,-95.405298,305.2043041
840,34.524665,-82.735648,305.2826104
843,34.511375,-82.719034,305.3011662
857,34.505843,-82.727634,305.3104376
308,34.528239,-82.737902,305.6698348
797,34.523918,-82.724739,305.8173555
578,30.509536,-97.761917,305.8426323
33,32.430291,-81.780745,305.8843486
757,30.299497,-97.884149,305.8857676
686,37.907004,-122.532467,305.9396179
947,30.497838,-97.765191,305.9496217
302,34.511113,-82.737546,305.9574567
303,34.523763,-82.73563,305.9845109
667,30.487031,-97.767411,305.9962309
583,30.299559,-97.891427,306.0698419
859,34.511051,-82.741902,306.0985489
400,29.96534,-95.415654,306.1029954
616,30.48709,-97.773662,306.1466154
313,34.520235,-82.73011,306.2719259
870,34.514579,-82.747421,306.3903204
518,37.920449,-122.514178,306.4707013
901,37.320132,-122.060977,306.5437486
512,30.490699,-97.773616,306.6180419
20,29.521291,-95.524672,306.6228644
842,29.64552,-95.128098,306.6230678
153,32.425827,-81.773261,306.686451
565,40.526478,-74.344753,306.7195189
276,34.151788,-118.769197,306.7898798
855,29.640109,-95.127984,306.8008993
146,32.416819,-81.771057,306.8571374
940,30.509694,-97.778589,306.8793402
305,34.527462,-82.72917,306.8920889
704,37.902452,-122.521122,306.9549009
304,34.528471,-82.721564,307.0031516
936,30.505183,-97.778645,307.0186704
781,34.506806,-82.723297,307.0742114
798,34.529326,-82.72485,307.1082983
316,34.520142,-82.736644,307.1467852
841,34.519411,-82.724646,307.154382
943,30.508743,-97.77339,307.1554833
87,34.142851,-118.763588,307.1833038
472,37.903282,-122.504054,307.2755936
668,30.487884,-97.762191,307.4434392
945,30.496161,-97.778758,307.4823784
554,37.903399,-122.53249,307.4834895
485,37.8988,-122.509771,307.5787023
824,34.529187,-82.734653,307.5793024
801,34.515589,-82.739817,307.5896101
663,37.906958,-122.521092,307.6332086
820,34.510989,-82.746257,307.6757765
462,37.901504,-122.509753,307.6878483
823,34.521044,-82.736663,307.7064646
579,30.500613,-97.77245,307.7335465
18,32.435723,-81.7776,307.8747265
75,34.143068,-118.74841,307.9112398
